,Age,Number of siblings,Gender,Left - right handed,Education,BMI,Clusters
946,22.0,0.0,male,right handed,secondary school,26.846358291497758,4
947,16.0,0.0,female,right handed,secondary school,16.975308641975307,5
948,18.0,1.0,female,right handed,secondary school,25.95155709342561,0
949,18.0,3.0,female,right handed,secondary school,20.820939916716245,0
951,26.0,3.0,male,right handed,masters degree,21.967857555786793,3
952,19.0,0.0,male,right handed,secondary school,18.726007303142847,0
953,20.0,1.0,female,right handed,secondary school,20.936639118457304,0
954,20.0,0.0,female,right handed,secondary school,20.244897959183675,0
955,19.0,1.0,female,right handed,secondary school,18.507766003774133,1
956,20.0,0.0,male,right handed,secondary school,26.19618735008206,4
957,20.0,5.0,male,right handed,secondary school,21.224489795918366,3
958,22.0,2.0,female,right handed,college/bachelor degree,20.65754000210077,3
959,24.0,1.0,female,left handed,masters degree,15.495867768595042,2
960,20.43369890329013,1.0,female,right handed,masters degree,21.179406843378686,2
961,20.0,3.0,male,left handed,secondary school,25.351541373715524,0
962,21.0,1.0,female,right handed,secondary school,20.07960127648894,1
963,23.0,0.0,male,left handed,secondary school,26.880934989043094,0
964,21.0,0.0,male,right handed,college/bachelor degree,21.179406843378686,2
965,17.0,2.0,female,right handed,primary school,22.49134948096886,0
966,19.0,1.0,female,left handed,college/bachelor degree,19.031141868512112,4
967,18.0,1.0,male,right handed,primary school,20.303697560696612,0
968,19.0,2.0,male,left handed,secondary school,22.152646502835537,3
969,19.0,2.0,male,right handed,college/bachelor degree,21.604938271604937,1
970,22.0,1.0,male,right handed,masters degree,23.449340844748203,4
971,18.0,1.0,male,right handed,secondary school,19.15158479364167,4
972,19.0,0.0,female,right handed,secondary school,27.77427092538821,2
973,20.0,2.0,female,right handed,secondary school,39.183673469387756,1
974,21.0,0.0,female,right handed,secondary school,21.798202394816204,2
975,23.0,0.0,female,right handed,secondary school,27.755102040816325,4
976,19.0,0.0,female,right handed,secondary school,20.9572742022715,0
977,19.0,1.0,male,right handed,secondary school,24.78425751739377,3
978,21.0,2.0,female,right handed,college/bachelor degree,22.03856749311295,0
979,19.0,0.0,male,left handed,secondary school,23.91327452439154,0
980,18.0,2.0,female,right handed,secondary school,19.233560749020178,0
981,19.0,1.0,female,left handed,secondary school,20.19557823129252,2
982,18.0,2.0,male,right handed,secondary school,22.093170054286073,2
983,22.0,2.0,female,right handed,secondary school,20.281233098972418,0
984,21.0,0.0,female,right handed,secondary school,20.202020202020204,1
985,20.0,1.0,female,right handed,secondary school,19.003908350962746,2
986,19.0,3.0,female,right handed,secondary school,23.147255121330193,4
989,30.0,2.0,female,right handed,masters degree,19.13265306122449,0
990,29.0,1.0,male,right handed,secondary school,28.703703703703702,1
991,21.0,0.0,male,right handed,secondary school,27.041644131963228,5
992,30.0,1.0,male,right handed,masters degree,37.5,0
993,21.0,0.0,female,right handed,secondary school,18.376825152861773,5
994,20.0,0.0,female,right handed,secondary school,25.180785123966942,2
995,18.0,0.0,female,right handed,secondary school,19.94805976890361,3
996,20.0,0.0,male,right handed,secondary school,20.498614958448755,3
997,19.0,1.0,female,right handed,secondary school,19.003908350962746,0
998,28.0,1.0,male,right handed,masters degree,28.483072916666668,3
1000,16.0,1.0,female,right handed,primary school,26.48553974966893,0
1001,18.0,2.0,female,right handed,primary school,24.609374999999996,5
1002,22.0,1.0,male,right handed,secondary school,21.97735111870822,3
1003,20.0,1.0,female,right handed,secondary school,21.29529475392104,0
1004,22.0,1.0,male,right handed,secondary school,19.591836734693878,3
1005,20.0,1.0,female,right handed,secondary school,21.192742415229034,4
1006,27.0,5.0,male,left handed,masters degree,23.888440980620498,0
1007,18.0,0.0,female,right handed,secondary school,25.05930702662969,3
1008,25.0,1.0,female,right handed,college/bachelor degree,19.37919743392696,2
1009,21.0,1.0,male,right handed,secondary school,21.0372534696859,3
